name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61xfg-k0ngL._AC_UL320_.jpg,https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_11?qid=1679218544&s=luggage&sr=1-11,4.3,381,"₹1,099","₹2,799"
Safari 15 Ltrs Cherry Red Casual/School/College Backpack (DAYPACKNEO15CBCRE),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61XKKuQok2L._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Cherry-Casual-Backpack-DAYPACKNEO15CBCRE/dp/B07NSBSV2Y/ref=sr_1_12?qid=1679218544&s=luggage&sr=1-12,4.1,"5,817",₹299,₹799
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91pln4jN4GL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CG8BFPP/ref=sr_1_13?qid=1679218544&s=luggage&sr=1-13,4.1,"52,238","₹1,099","₹2,300"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91l1HMIFTtL._AC_UL320_.jpg,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?qid=1679218544&s=luggage&sr=1-14,3.8,554,₹499,"₹1,799"
Skybags Brat Sea Green 46 Cms Casual Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71U-5XbfSWL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG/ref=sr_1_15?qid=1679218544&s=luggage&sr=1-15,4.0,"1,000",₹659,"₹2,100"
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Spo...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81SBgVHpw1L._AC_UL320_.jpg,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_16?qid=1679218544&s=luggage&sr=1-16,4.0,"5,122",₹843,"₹1,899"
"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Ba...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61wcdlkB0XL._AC_UL320_.jpg,https://www.amazon.in/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR/ref=sr_1_17?qid=1679218544&s=luggage&sr=1-17,4.1,"1,230",₹999,"₹2,599"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71FRRQKKSSL._AC_UL320_.jpg,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_18?qid=1679218544&s=luggage&sr=1-18,4.1,"8,131",₹299,₹499
"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71ghDQNr4GL._AC_UL320_.jpg,https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_19?qid=1679218544&s=luggage&sr=1-19,4.2,"3,028",₹915,"₹2,339"
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61SHWz8Ub5L._AC_UL320_.jpg,https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_20?qid=1679218544&s=luggage&sr=1-20,4.4,"1,674","₹1,499","₹2,999"
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook ...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71I2IM7gsyL._AC_UL320_.jpg,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_21?qid=1679218544&s=luggage&sr=1-21,3.9,"9,032",₹899,"₹1,999"
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81MdmvloEkL._AC_UL320_.jpg,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_22?qid=1679218544&s=luggage&sr=1-22,4.0,"10,738",₹799,"₹3,500"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91x7qLAsTPL._AC_UL320_.jpg,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_23?qid=1679218544&s=luggage&sr=1-23,4.4,"5,447","₹1,075","₹1,999"
Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61MUbvslk2L._AC_UL320_.jpg,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_24?qid=1679218544&s=luggage&sr=1-24,4.2,"54,633",₹799,"₹1,790"
ShopyVid® PU Leather Stylish and Trending Women Backpack for College Office Travel Bag Girls Handbag Purse Black,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71PcKHG6byL._AC_UL320_.jpg,https://www.amazon.in/ShopyVid%C2%AE-Leather-Stylish-Trending-Backpack/dp/B08336HQ18/ref=sr_1_25?qid=1679218544&s=luggage&sr=1-25,3.6,"2,944",₹369,"₹1,126"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/6144hnfQ3UL._AC_UL320_.jpg,https://www.amazon.in/Genie-Unicorn-School-Bags-Girls/dp/B09N9LYY8X/ref=sr_1_26?qid=1679218544&s=luggage&sr=1-26,4.4,199,₹999,"₹2,339"
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61fBoZgmkCL._AC_UL320_.jpg,https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_27?qid=1679218544&s=luggage&sr=1-27,4.3,"2,949",₹999,"₹1,999"
Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 ...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81cB0YABm3L._AC_UL320_.jpg,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_28?qid=1679218544&s=luggage&sr=1-28,4.3,"12,324",₹448,"₹1,199"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/913C9PlkyfL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_29?qid=1679218544&s=luggage&sr=1-29,3.9,7,"₹1,299","₹2,500"
American Tourister Casual Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/A1+3Pfdc3IL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C/ref=sr_1_30?qid=1679218544&s=luggage&sr=1-30,4.1,"14,448",₹999,"₹1,249"
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,ta...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61v0-iGlR1L._AC_UL320_.jpg,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_31?qid=1679218544&s=luggage&sr=1-31,4.4,"2,715",₹652,"₹1,500"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61xpAsIGqwL._AC_UL320_.jpg,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_32?qid=1679218544&s=luggage&sr=1-32,3.9,711,₹799,"₹2,899"
"FUR JADEN 40L Weekender Travel Laptop Backpack with Anti Theft Pocket, Organizer, 15.6 Inch Padded Laptop Sleeve and Dual ...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/41p7Iq8lLyL._AC_UL320_.jpg,https://www.amazon.in/Weekender-Travel-Backpack-Organizer-Handles/dp/B0B34WJK3X/ref=sr_1_33?qid=1679218544&s=luggage&sr=1-33,4.3,349,"₹1,289","₹2,000"
Glowic Unisex's Backpack for Men Women Boys Girls/Office School College Teens & Students (WBAG-64) (Black),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/51toI5DlR3L._AC_UL320_.jpg,https://www.amazon.in/Glowic-Unisexs-Backpack-College-Students/dp/B0BGX9W69N/ref=sr_1_34?qid=1679218544&s=luggage&sr=1-34,3.9,92,₹749,"₹1,499"
Safari Groove 35 Ltrs Water Resistant Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61aMBGC61SL._AC_UL320_.jpg,https://www.amazon.in/Safari-Groove-Water-Resistant-Backpack/dp/B09B27WXSF/ref=sr_1_35?qid=1679218544&s=luggage&sr=1-35,3.7,302,₹899,"₹2,999"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71GxZAYa6UL._AC_UL320_.jpg,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_36?qid=1679218544&s=luggage&sr=1-36,4.2,"4,951",₹839,"₹2,500"
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft ...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/918t7nycBdL._AC_UL320_.jpg,https://www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z/ref=sr_1_37?qid=1679218544&s=luggage&sr=1-37,4.3,"1,370",,"₹2,849"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/51LoviZ7+aL._AC_UL320_.jpg,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_38?qid=1679218544&s=luggage&sr=1-38,3.9,"2,414",₹799,"₹2,599"
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/7156h2qfQ7L._AC_UL320_.jpg,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_39?qid=1679218544&s=luggage&sr=1-39,3.6,"7,533",₹269,"₹1,000"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61TWJaaUMtL._AC_UL320_.jpg,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_40?qid=1679218544&s=luggage&sr=1-40,4.1,492,₹799,"₹2,899"
"Genie Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Light...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71DPD4B-1nL._AC_UL320_.jpg,https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGQ2R4/ref=sr_1_41?qid=1679218544&s=luggage&sr=1-41,4.2,"4,042",₹594,"₹1,799"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81RtwUjQiFL._AC_UL320_.jpg,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_42?qid=1679218544&s=luggage&sr=1-42,4.4,"16,451","₹1,032","₹2,580"
Skybags New Neon 30 L Backpack (Green),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91VePXdFDIL._AC_UL320_.jpg,https://www.amazon.in/Skybags-New-Neon-Backpack-Green/dp/B07SSDP8D5/ref=sr_1_43?qid=1679218544&s=luggage&sr=1-43,4.1,672,₹988,"₹2,398"
"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Wa...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61LOCM73i0L._AC_UL320_.jpg,https://www.amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N/ref=sr_1_44?qid=1679218544&s=luggage&sr=1-44,4.2,54,₹739,"₹2,799"
"Genie Lush School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Bac...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71eVT1izeBS._AC_UL320_.jpg,https://www.amazon.in/Genie-Black-School-Backpack-LUSH19SBBLK/dp/B07QHLBBPM/ref=sr_1_45?qid=1679218544&s=luggage&sr=1-45,4.1,"1,429",₹955,"₹2,599"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartm...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71BLyOThttL._AC_UL320_.jpg,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_46?qid=1679218544&s=luggage&sr=1-46,3.9,"2,328",₹849,"₹2,899"
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/915AQLq4QWL._AC_UL320_.jpg,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_47?qid=1679218544&s=luggage&sr=1-47,4.4,"3,793","₹1,075","₹2,199"
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71tOJlH2YYL._AC_UL320_.jpg,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_48?qid=1679218544&s=luggage&sr=1-48,4.1,"5,288","₹1,399","₹6,999"
Carbonado Turtle Unisex Waist Bag | Multipurpose Utility Waist Pouch | Cross Body | Strap to Leg or Hip | for Motorcyclin...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/51Ur2o5Fi-L._AC_UL320_.jpg,https://www.amazon.in/Carbonado-Multipurpose-Utility-Motorcycling-Adventure/dp/B0BQ78WMBL/ref=sr_1_385?qid=1679218547&s=luggage&sr=1-385,4.4,366,"₹1,225","₹1,290"
Wildcraft CL2 Laptop bagpack (Black),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/A1KCN717UjL._AC_UL320_.jpg,https://www.amazon.in/Wildcraft-CL2-laptop-bagpack-Black/dp/B00L14FKD6/ref=sr_1_386?qid=1679218547&s=luggage&sr=1-386,4.1,176,"₹1,585","₹1,795"
Aristocrat 45 Ltrs Black Rucksack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91+2ldIqBrL._AC_UL320_.jpg,https://www.amazon.in/Aristocrat-Ltrs-Black-Rucksack-Duro/dp/B07VB76WL9/ref=sr_1_387?qid=1679218547&s=luggage&sr=1-387,4.1,298,"₹1,692","₹3,400"
PUMA Laptop Backpack IND I Black- White,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91wo5NRna-L._AC_UL320_.jpg,https://www.amazon.in/PUMA-Laptop-Backpack-Black-White/dp/B08BTMMB23/ref=sr_1_388?qid=1679218547&s=luggage&sr=1-388,3.9,133,"₹1,099","₹1,999"
ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Grey),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/719j1HGCJVL._AC_UL320_.jpg,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BXQD8DZX/ref=sr_1_389?qid=1679218547&s=luggage&sr=1-389,4.2,7,₹499,"₹1,799"
"Tripole Rain Cover for Backpack & Rucksack (Black, 75-100)",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/517YXKd-odL._AC_UL320_.jpg,https://www.amazon.in/Tripole-Cover-Backpack-Rucksack-75-100/dp/B081Z4NZTV/ref=sr_1_390?qid=1679218547&s=luggage&sr=1-390,4.1,921,₹314,₹549
"Vezela Set of 4 Casual Laptop Bag (35L) with USB Charging Feature with Lunch Bag, Pencil Case & Pouch, School Bag for Girl...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81XCo0BIojL._AC_UL320_.jpg,https://www.amazon.in/Vezela-Canvas-Laptop-Lunch-Pencil/dp/B01N4VCIOK/ref=sr_1_391?qid=1679218547&s=luggage&sr=1-391,4.2,969,,"₹1,899"
"ASUS TUF Gaming VP4700 43.18 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 43.18 cm Laptop",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71gnd+LlnWS._AC_UL320_.jpg,https://www.amazon.in/ASUS-VP4700-Backpack-Reflective-Suitable/dp/B0937G637K/ref=sr_1_392?qid=1679218547&s=luggage&sr=1-392,4.1,75,"₹1,999","₹3,199"
Tinytot School Backpack College Backpack Travel Backpack Office Backpack for Boys & Girls,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61xBmLDxg+L._AC_UL320_.jpg,https://www.amazon.in/Tinytot-School-Backpack-College-Travel/dp/B09HSJ3K31/ref=sr_1_393?qid=1679218547&s=luggage&sr=1-393,4.1,35,₹724,"₹1,999"
TRAWOC 65 Liter Internal Frame Trekking Hiking Backpack Travel Bag Front & Top Loading Rucksack / Water Proof Rain Cover /...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81Xyvs62V7L._AC_UL320_.jpg,https://www.amazon.in/TRAWOC-Internal-Trekking-Backpack-Compartment/dp/B097SYNMRR/ref=sr_1_394?qid=1679218547&s=luggage&sr=1-394,4.5,421,"₹2,065","₹4,999"
Wildcraft 35 Ltrs Orange Casual Backpack (11612-Orange),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/51GNqfDAnsL._AC_UL320_.jpg,https://www.amazon.in/Wildcraft-Orange-Casual-Backpack-11612-Orange/dp/B07B35HMRD/ref=sr_1_395?qid=1679218547&s=luggage&sr=1-395,4.0,193,₹899,"₹1,199"
Skybags Unisex Purple Oxford 10L Backpacks,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81DKckgS5CL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Purple-Oxford-Backpacks/dp/B0B21WLS6X/ref=sr_1_396?qid=1679218547&s=luggage&sr=1-396,3.9,23,₹427,"₹1,000"
Trunkit Adventure Series Water Resistance Trekking Hiking Travel Bag with Shoe Compartment Rucksack - 55 L,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81Rkp8aTDTL._AC_UL320_.jpg,https://www.amazon.in/Trunkit-Adventure-Resistance-Trekking-Compartment/dp/B08L6GB6JX/ref=sr_1_397?qid=1679218547&s=luggage&sr=1-397,4.0,287,₹559,"₹2,599"
Glowic Unisex's College Office Dual Compartment Canvas Laptop Backpack for Men and Women (WBAG-55) (Blue),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61CU1MC44aL._AC_UL320_.jpg,https://www.amazon.in/Glowic-Unisexs-Compartment-Backpack-WBAG-55/dp/B0B5N5TGK6/ref=sr_1_398?qid=1679218547&s=luggage&sr=1-398,3.7,73,₹749,"₹1,499"
"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Wa...",bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71Ahq2BbMfL._AC_UL320_.jpg,https://www.amazon.in/POLESTAR-Ranker-Casual-Bagpack-Backpack/dp/B08421FNT3/ref=sr_1_399?qid=1679218547&s=luggage&sr=1-399,4.1,"7,607",₹669,"₹1,250"
Aristocrat 45 Ltrs Teal Blue Rucksack (Duro),bags & luggage,Backpacks,https://m.media-amazon.com/images/I/71FoctF5qpL._AC_UL320_.jpg,https://www.amazon.in/Aristocrat-Ltrs-Teal-Rucksack-Duro/dp/B07VCCLMYL/ref=sr_1_400?qid=1679218547&s=luggage&sr=1-400,4.3,468,"₹1,539","₹5,000"
F Gear Burner P8 19 Ltrs White Casual Laptop Backpack,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/61RNoKcilbL._AC_UL320_.jpg,https://www.amazon.in/F-Gear-Burner-Casual-Laptop-Backpack/dp/B016115VXW/ref=sr_1_401?qid=1679218547&s=luggage&sr=1-401,4.3,"3,891",₹636,"₹1,675"
Aristocrat Unisex Black Premium Polyester Fabric 28L Backpacks,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81VhaCX+M0L._AC_UL320_.jpg,https://www.amazon.in/Aristocrat-Unisex-Premium-Polyester-Backpacks/dp/B09ZV6SBFS/ref=sr_1_402?qid=1679218547&s=luggage&sr=1-402,4.2,44,"₹1,480","₹3,700"
Tripole Walker 65 litres Rucksack with 20 Litre Foldable Day Pack | Internal Frame with Metal Rod | Rain Cover | Bottom Op...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/91RcYt1wWrS._AC_UL320_.jpg,https://www.amazon.in/Tripole-Walker-Litres-Rucksack-Foldable/dp/B07BFG22GW/ref=sr_1_403?qid=1679218547&s=luggage&sr=1-403,4.4,940,"₹2,609","₹3,799"
Red Lemon Titan Ultrafit Bange Series 55L Capacity 15.6-inch Laptop Backpack for Men and Women Outdoor and Camping Bags 3i...,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/4175YdA64sL._AC_UL320_.jpg,https://www.amazon.in/Red-Lemon-15-6-inch-Backpacks-Travelling/dp/B08XPMY3P8/ref=sr_1_404?qid=1679218547&s=luggage&sr=1-404,4.5,73,"₹3,799","₹5,999"
Skybags Chase 32L Unisex Adjustable Strap Polyester Blue Backpacks,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81ClHP703aL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpacks/dp/B0BJ73L5PR/ref=sr_1_405?qid=1679218547&s=luggage&sr=1-405,4.0,1,"₹1,560","₹3,600"
Aristocrat Unisex Navy Blue 400D 28.82L Backpacks,bags & luggage,Backpacks,https://m.media-amazon.com/images/I/81SmaJpVrLL._AC_UL320_.jpg,https://www.amazon.in/Aristocrat-Unisex-Navy-28-82L-Backpacks/dp/B09ZV9HQJP/ref=sr_1_406?qid=1679218547&s=luggage&sr=1-406,4.1,28,₹919,"₹2,600"
